C:\Users\Kyan\Data\IMG\center_2020_05_26_14_48_29_481.jpg, C:\Users\Kyan\Data\IMG\left_2020_05_26_14_48_29_481.jpg, C:\Users\Kyan\Data\IMG\right_2020_05_26_14_48_29_481.jpg, 0, 0, 0, 7.963837E-05
C:\Users\Kyan\Data\IMG\center_2020_05_26_14_48_29_582.jpg, C:\Users\Kyan\Data\IMG\left_2020_05_26_14_48_29_582.jpg, C:\Users\Kyan\Data\IMG\right_2020_05_26_14_48_29_582.jpg, 0, 0, 0, 7.87141E-05
C:\Users\Kyan\Data\IMG\center_2020_05_26_14_48_29_684.jpg, C:\Users\Kyan\Data\IMG\left_2020_05_26_14_48_29_684.jpg, C:\Users\Kyan\Data\IMG\right_2020_05_26_14_48_29_684.jpg, 0, 0, 0, 7.798152E-05
C:\Users\Kyan\Data\IMG\center_2020_05_26_14_48_29_787.jpg, C:\Users\Kyan\Data\IMG\left_2020_05_26_14_48_29_787.jpg, C:\Users\Kyan\Data\IMG\right_2020_05_26_14_48_29_787.jpg, 0, 0, 0, 7.797567E-05
C:\Users\Kyan\Data\IMG\center_2020_05_26_14_48_29_887.jpg, C:\Users\Kyan\Data\IMG\left_2020_05_26_14_48_29_887.jpg, C:\Users\Kyan\Data\IMG\right_2020_05_26_14_48_29_887.jpg, 0, 0, 0, 7.83237E-05
C:\Users\Kyan\Data\IMG\center_2020_05_26_14_48_29_990.jpg, C:\Users\Kyan\Data\IMG\left_2020_05_26_14_48_29_990.jpg, C:\Users\Kyan\Data\IMG\right_2020_05_26_14_48_29_990.jpg, 0, 0, 0, 7.839885E-05
C:\Users\Kyan\Data\IMG\center_2020_05_26_14_48_30_091.jpg, C:\Users\Kyan\Data\IMG\left_2020_05_26_14_48_30_091.jpg, C:\Users\Kyan\Data\IMG\right_2020_05_26_14_48_30_091.jpg, 0, 0, 0, 7.816235E-05
C:\Users\Kyan\Data\IMG\center_2020_05_26_14_48_30_195.jpg, C:\Users\Kyan\Data\IMG\left_2020_05_26_14_48_30_195.jpg, C:\Users\Kyan\Data\IMG\right_2020_05_26_14_48_30_195.jpg, -0.03982734, 0, 0, 7.957503E-05
C:\Users\Kyan\Data\IMG\center_2020_05_26_14_48_30_296.jpg, C:\Users\Kyan\Data\IMG\left_2020_05_26_14_48_30_296.jpg, C:\Users\Kyan\Data\IMG\right_2020_05_26_14_48_30_296.jpg, -0.3342223, 0.2649158, 0, 0.2019618
C:\Users\Kyan\Data\IMG\center_2020_05_26_14_48_30_398.jpg, C:\Users\Kyan\Data\IMG\left_2020_05_26_14_48_30_398.jpg, C:\Users\Kyan\Data\IMG\right_2020_05_26_14_48_30_398.jpg, -0.6345282, 0.5652217, 0, 0.7504166
